Taxa	PHT
CUF0-001	5
CUF0-010	13
CUF0-109	16.5
CUF0-011	13
CUF0-110	10
CUF0-113	8
CUF0-118	9.5
CUF0-012	12
CUF0-120	13.5
CUF0-121	9
CUF0-013	14
CUF0-137	9.5
CUF0-014	13.5
CUF0-145	12.5
CUF0-146	10.5
CUF0-015	12
CUF0-158	13.5
CUF0-016	11
CUF0-160	10
CUF0-161	8
CUF0-017	11.5
CUF0-174	5.5
CUF0-175	7
CUF0-176	11.5
CUF0-018	8
CUF0-183	8
CUF0-184	11.5
CUF0-185	14
CUF0-186	8
CUF0-019	7
CUF0-190	9
CUF0-191	7.5
CUF0-192	11
CUF0-002	8
CUF0-020	8
CUF0-021	11
CUF0-022	11
CUF0-023	10
CUF0-024	14
CUF0-025	11
CUF0-026	11.5
CUF0-027	13.5
CUF0-028	12.5
CUF0-029	15
CUF0-003	9
CUF0-030	14
CUF0-031	14.5
CUF0-032	10
CUF0-033	12
CUF0-034	11.5
CUF0-035	10
CUF0-036	10.5
CUF0-037	16
CUF0-038	13
CUF0-039	18
CUF0-004	13
CUF0-040	11
CUF0-041	12
CUF0-042	16
CUF0-043	15
CUF0-044	14
CUF0-045	11.5
CUF0-046	9.5
CUF0-047	14.5
CUF0-048	16.5
CUF0-049	16
CUF0-005	19.5
CUF0-050	17.5
CUF0-051	12
CUF0-052	13.5
CUF0-053	7.5
CUF0-054	10
CUF0-055	10
CUF0-056	14
CUF0-057	17
CUF0-058	13.5
CUF0-059	17
CUF0-006	17.5
CUF0-060	10.5
CUF0-061	9.5
CUF0-062	10.5
CUF0-063	14
CUF0-064	1.25E+01
CUF0-065	10.5
CUF0-066	12
CUF0-067	11.5
CUF0-068	6.5
CUF0-069	10
CUF0-007	13.5
CUF0-070	10
CUF0-071	11
CUF0-072	1.85E+01
CUF0-073	14.5
CUF0-074	12.5
CUF0-077	13
CUF0-078	8.5
CUF0-079	17.5
CUF0-008	11
CUF0-080	7.5
CUF0-081	11
CUF0-082	8.5
CUF0-084	9.5
CUF0-085	4
CUF0-086	6
CUF0-087	6.5
CUF0-088	8
CUF0-089	12
CUF0-009	11.5
CUF0-090	11
CUF0-091	9.5
CUF0-092	14.5
CUF0-093	13
CUF0-094	13
CUF0-095	12.5
CUF0-096	17.5
CUF0-097	6
CUF0-098	4
CUF0-099	4.5
CUFH-001	14
CUFH-010	9.5
CUFH-100	6
CUFH-101	6
CUFH-102	13.5
CUFH-103	14
CUFH-104	4
CUFH-105	13.5
CUFH-106	9
CUFH-108	13
CUFH-011	14
CUFH-110	9.5
